ID,UnitID,UnitType,UnitCode,UnitTitle,Faculty,ROE,CreditPoints,UngradedExempCategory,Year,TeachingPeriod,Location,Mode,Code,DateStart,DateStartAttendance,DateEndAttendance,DateEnd,DateCensusRequested,Selfserve,ClassSize,Examinations,UnitAvailabilitiesLastChanged,BroadeningForDegrees,BroadeningCategory,TeachingResponsibilities
114996,7857,Unit,PODI6535,"Surgical Practicum 2B",S00820,00820,6,N,2025,Non-standard,Crawley,FACE2FACE,,2025-01-27,2025-01-27,2025-05-23,2025-06-13,0000-00-00,1,,,,NULL,NULL,"00820 School of Health and Clinical Sciences, 100%"
119197,8067,Unit,CIVL5550,"Civil Infrastructure Design Project",S00660,00660,6,N,2025,"Semester 1",Crawley,FACE2FACE,,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,1,,,,NULL,NULL,"00660 Engineering, 100%"
148205,4237,Unit,PSYC5536,"Neuropsychology 1",S00140,00140,6,N,2025,"Semester 1",Crawley,FACE2FACE,,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,1,,,2025-06-04,NULL,NULL,"00140 Psychological Science, 100%"
148208,4238,Unit,PSYC5537,"Neuropsychology 2",S00140,00140,6,N,2025,"Semester 2",Crawley,FACE2FACE,,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,1,,,2025-06-04,NULL,NULL,"00140 Psychological Science, 100%"
154458,8025,Unit,GENG4412,"Engineering Research Project Part 2",S00660,00660,6,N,2025,"Semester 1",Crawley,FACE2FACE,,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,1,,,,NULL,NULL,"00660 Engineering, 100%"
154459,8025,Unit,GENG4412,"Engineering Research Project Part 2",S00660,00660,6,N,2025,"Semester 2",Crawley,FACE2FACE,,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,1,,,,NULL,NULL,"00660 Engineering, 100%"
155155,6680,Unit,OCEN5511,"Ocean Leadership Research Project Part 1",S00766,00766,6,N,2025,"Semester 1",Crawley,FACE2FACE,,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,1,,,,NULL,NULL,"00766 School of Earth and Oceans, 100%"
155156,6680,Unit,OCEN5511,"Ocean Leadership Research Project Part 1",S00766,00766,6,N,2025,"Semester 2",Crawley,FACE2FACE,,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,1,,,,NULL,NULL,"00766 School of Earth and Oceans, 100%"
155158,6681,Unit,OCEN5512,"Ocean Leadership Research Project Part 2",S00766,00766,6,N,2025,"Semester 1",Crawley,FACE2FACE,,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,1,,,,NULL,NULL,"00766 School of Earth and Oceans, 100%"
155159,6681,Unit,OCEN5512,"Ocean Leadership Research Project Part 2",S00766,00766,6,N,2025,"Semester 2",Crawley,FACE2FACE,,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,1,,,,NULL,NULL,"00766 School of Earth and Oceans, 100%"
