code,title,Availabilities,Curriculum,RulesPrereqs,RulesPrereqsList,RulesCoreqs,RulesCoreqsList,RulesIncomps,RulesPrereqsList
PHAR2220,"Human Pharmacology",157292,"MJD-PHARY Pharmacology (BBiomedSc|*|) as core [Drafted from 2026]; 
MJD-MEDSI Medical Science (BBM|*|) as core in Pharmacology & Toxicology [Active]; 
MJD-PHEAL Pharmaceutical Health (BHumSc|*|) as core [Active];","PHAR2210 Foundations of Pharmacology or IMED2002 Blood and Drugs",215347,Nil.,,"PHAR2230 Systems Pharmacology",215347
SCIE2100,"Social Responsibility in Action",158666,"MJD-ARIDM Artificial Intelligence (BACS|*|) as option [Active]; 
MNR-ETHIC Applied Ethics () as core [Active];","completion of 48 points of prior study",,Nil.,,Nil.,
ECON3301,"Game Theory and Strategic Thinking",162418,"MJD-ECNSM Business Economics (BCom|*|) as option [Active]; 
MJD-ECNPF Economics (BEc|*|BEc - MEc|*|) as option [Active]; 
MJD-PPEDM Philosophy, Politics and Economics (BPPE|*|) as option [Active]; 
MJD-FINEC Financial Economics (BEc|*|) as option [Active];","ECON2233 Microeconomics: Policy and Applications",,Nil,,Nil,
EMPL3301,"Globalisation and Work",162419,"MJD-WKERL Work and Employment Relations (BA|*|) as core [Active]; 
MJD-GLBUS Global Business (BBus|*|) as core [Active];","Completion of all first year core units in any course.",100524,Nil.,,Nil.,100524
MGMT3335,"Enterprise Systems",162420,"MJD-MGMNT Management (BCom|*|) as option [Active from 2024]; 
MJD-ENTIN Enterprise and Innovation (BBus|*|) as option [Active];","any two Level 2 units in the Management major or MGMT2311 Organisational Learning and Innovation",,Nil.,,Nil.,
MGMT3304,"Applied International Business Strategy",162059;162060,"MJD-MGMNT Management (BCom|*|) as option [Active]; 
MJD-GLBUS Global Business (BBus|*|) as core [Active];","MGMT2341 International Management",,Nil.,,Nil.,
IMED2200,"Mental Wellbeing for Today's World",172063,"MJD-HHMED Humanities in Health and Medicine (BBiomedSc|*|) as option [Active];",Nil.,,Nil.,,Nil.,
PSYC1101,"Psychology: Mind and Brain",158642;158643,"MJD-NEURS Neuroscience (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-PSYSC Psychological Science (BSc|*|) as core [Active]; 
MJD-PSYSO Psychology in Society (BA|*|) as core [Active]; 
MJD-PSYDM Psychology (BPsych|*|) as core [Active]; 
MJD-PSYCH Psychological and Behavioural Sciences (BA|*|BSc|*|) as core [Active]; 
MJD-HSDEM Human Sciences and Data Analytics (BHumSc|*|) as option [Active]; 
MJD-HSNEM Human Science and Neuroscience (BHumSc|*|) as core [Active]; 
MJD-CRMDM Criminology and Criminal Justice (BCRMCJ|*|) as option [Active]; 
MNR-BRBEH Brain and Behaviour () as core [Active];",Nil.,42293,Nil.,42294,Nil.,42293
NEUR3301,"Advanced Neuroscience 1",162422,"MJD-NEURS Neuroscience (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-HSNEM Human Science and Neuroscience (BHumSc|*|) as core [Active]; 
71520 Master of Biomedical Science (coursework or coursework and dissertation) as conversion in Neuroscience [Active];","(PHYL2002 Physiology of Cells or PHYL2245 Physiology of Cells) and ANHB2217 Human Neurobiology",51412;51413,Nil.,7633,"NEUR3325 Advanced Neuroscience, NEUR3326 Advanced Neuroscience",51412;51413
NEUR3302,"Advanced Neuroscience 2",162423,"MJD-NEURS Neuroscience (BSc|*|BBiomedSc|*|) as core [Active]; 
MJD-HSNEM Human Science and Neuroscience (BHumSc|*|) as core [Active];","(PHYL2002 Physiology of Cells or PHYL2245 Physiology of Cells) and ANHB2217 Human Neurobiology",51422;51423,"NEUR3301 Advanced Neuroscience 1",194292,"NEUR3325 Advanced Neuroscience, NEUR3326 Advanced Neuroscience",51422;51423
